1,17,0.1414
1,18,0.2236
1,3,0.3606
1,22,0.5
1,12,0.5099
2,15,0.1
2,12,0.2236
2,24,0.3162
3,22,0.1414
3,18,0.1414
3,27,0.2236
3,17,0.2236
3,11,0.3162
4,11,0.1
4,14,0.1
4,16,0.2236
4,26,0.2236
4,21,0.2828
4,7,0.3
5,30,0.1414
5,6,0.2236
6,8,0.1
6,30,0.1
6,31,0.1414
6,29,0.2236
6,5,0.2236
7,16,0.1414
7,14,0.2
7,21,0.2236
7,10,0.2828
7,4,0.3
8,6,0.1
8,29,0.1414
8,30,0.1414
8,31,0.2236
9,24,0.1
9,19,0.2236
9,15,0.3162
9,2,0.3606
9,20,0.5
10,23,0.1414
10,28,0.1414
10,7,0.2828
11,4,0.1
11,14,0.1414
11,22,0.2
11,26,0.2
11,27,0.2236
11,16,0.2828
11,3,0.3162
12,15,0.2
12,2,0.2236
12,27,0.3162
12,23,0.3606
14,4,0.1
14,16,0.1414
14,11,0.1414
14,7,0.2
14,21,0.2236
14,22,0.3162
15,2,0.1
15,12,0.2
15,19,0.2236
15,24,0.3
15,9,0.3162
16,21,0.1
16,7,0.1414
16,14,0.1414
16,4,0.2236
16,11,0.2828
16,29,0.2828
17,18,0.1
17,1,0.1414
17,3,0.2236
18,17,0.1
18,3,0.1414
18,1,0.2236
18,22,0.2828
19,24,0.1414
19,9,0.2236
19,15,0.2236
20,28,0.1414
20,19,0.3162
20,23,0.3162
20,24,0.4
21,16,0.1
21,29,0.2236
21,7,0.2236
21,14,0.2236
21,4,0.2828
22,27,0.1
22,3,0.1414
22,11,0.2
22,18,0.2828
22,26,0.2828
22,4,0.3
23,10,0.1414
23,5,0.3162
24,9,0.1
24,19,0.1414
24,15,0.3
24,2,0.3162
24,28,0.3162
24,20,0.4
25,26,0.1414
25,11,0.3162
25,4,0.3606
26,25,0.1414
26,11,0.2
26,4,0.2236
26,22,0.2828
26,14,0.3162
27,22,0.1
27,3,0.2236
27,11,0.2236
27,4,0.3162
27,12,0.3162
28,20,0.1414
28,10,0.1414
28,24,0.3162
29,8,0.1414
29,6,0.2236
29,21,0.2236
29,16,0.2828
29,30,0.2828
29,31,0.3
30,6,0.1
30,5,0.1414
30,8,0.1414
30,31,0.2236
30,29,0.2828
31,6,0.1414
31,8,0.2236
31,30,0.2236
31,29,0.3
31,5,0.3606
